name,price,description,image,category,stock
Stainless Steel Cookware Set,299.99,10-piece professional cookware set with tri-ply stainless steel construction,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=600&h=600&fit=crop,Home & Kitchen,20
White Canvas Sneakers,64.99,Classic low-top canvas sneakers with vulcanized rubber sole,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=600&h=600&fit=crop,Footwear,95
Facial Skincare Set,79.99,Complete skincare routine with cleanser toner serum and moisturizer,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=600&h=600&fit=crop,Beauty,55
Hardcover Journal Notebook,19.99,Premium A5 dotted journal with 200 pages and pen holder,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=600&h=600&fit=crop,Accessories,200
Standing Desk Converter,279.99,Height-adjustable standing desk converter with dual monitor support,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=600&h=600&fit=crop,Home & Kitchen,15
Wool Blend Overcoat,199.99,Tailored wool blend overcoat with notch lapel and two-button closure,https://images.unsplash.com/photo-1539533113208-f6df8cc8b543?w=600&h=600&fit=crop,Fashion,25
Basketball Official Size,39.99,Indoor outdoor composite leather basketball with superior grip,https://images.unsplash.com/photo-1519861531473-9200262188bf?w=600&h=600&fit=crop,Sports,60
Electric Toothbrush Smart,89.99,Sonic electric toothbrush with 5 modes pressure sensor and travel case,https://images.unsplash.com/photo-1559590837-26aca67c0760?w=600&h=600&fit=crop,Beauty,70
Wireless Charging Pad,29.99,15W fast wireless charging pad compatible with all Qi-enabled devices,https://images.unsplash.com/photo-1586816879360-004f5b0c51e3?w=600&h=600&fit=crop,Electronics,110
Hiking Boots Waterproof,159.99,Waterproof leather hiking boots with Vibram sole and ankle support,https://images.unsplash.com/photo-1520219306100-ec4afeeefe58?w=600&h=600&fit=crop,Footwear,40
Espresso Machine Automatic,449.99,Fully automatic espresso machine with built-in grinder and milk frother,https://images.unsplash.com/photo-1510707577719-ae7c14805e3a?w=600&h=600&fit=crop,Home & Kitchen,18
Resistance Bands Set,27.99,Set of 5 latex resistance bands with different strength levels and bag,https://images.unsplash.com/photo-1598289431512-b97b0917affc?w=600&h=600&fit=crop,Sports,130
Silk Pillowcase Set,44.99,100% mulberry silk pillowcase set of 2 for hair and skin care,https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?w=600&h=600&fit=crop,Home & Kitchen,65
Retro Vinyl Record Player,179.99,Vintage-style turntable with built-in speakers and Bluetooth connectivity,https://images.unsplash.com/photo-1539375665275-f9de415ef9ac?w=600&h=600&fit=crop,Electronics,22
Linen Button-Down Shirt,69.99,Relaxed fit pure linen shirt perfect for summer and casual occasions,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=600&fit=crop,Fashion,55
Dumbbells Adjustable Set,149.99,Adjustable dumbbells set from 5 to 25 lbs with quick-change mechanism,https://images.unsplash.com/photo-1638536532686-d610adfc8e5c?w=600&h=600&fit=crop,Sports,35
Tablet 10-inch Display,349.99,10.9-inch tablet with A14 chip 64GB storage and Apple Pencil support,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600&h=600&fit=crop,Electronics,28
Lip Care Collection,32.99,Set of 4 tinted lip balms with natural ingredients and SPF protection,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=600&h=600&fit=crop,Beauty,80
Throw Blanket Chunky Knit,54.99,Handwoven chunky knit throw blanket in soft acrylic 50x60 inches,https://images.unsplash.com/photo-1580301762395-21ce12d4bc4b?w=600&h=600&fit=crop,Home & Kitchen,40
Leather Chelsea Boots,179.99,Classic Chelsea boots in genuine leather with elastic side panels,https://images.unsplash.com/photo-1638247025967-b4e38f787b76?w=600&h=600&fit=crop,Footwear,30
Tennis Racket Professional,159.99,Lightweight carbon fiber tennis racket with vibration dampening technology,https://images.unsplash.com/photo-1622279457486-62dcc4a431d6?w=600&h=600&fit=crop,Sports,25
Aromatherapy Diffuser,36.99,Ultrasonic essential oil diffuser with color-changing LED and timer,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=600&h=600&fit=crop,Home & Kitchen,55
